Survived,Pclass,Age,Fare,Sex_female,Embarked_C,Embarked_Q,FamilySize
0,3,2.271173661724051,2.1102132003465894,0,0,0,1
1,1,2.4722292033174162,4.2805931204649,1,1,0,1
1,3,2.3214375471223927,2.188856327665703,1,0,0,0
1,1,2.4345312892686604,3.9908341858524357,1,0,0,1
0,3,2.4345312892686604,2.2027647577118348,0,0,0,0
0,3,2.346569489821563,2.246892662898172,0,0,1,0
0,1,2.6732847449107817,3.967694202798607,0,0,0,0
0,3,2.0198542347323447,3.0944457464900235,0,0,0,4
1,3,2.334003518471978,2.495953738718064,1,0,0,2
1,2,2.1706458909273687,3.436268471383741,1,1,0,1
1,3,2.0449861774315155,2.8735646395797834,1,0,0,2
1,1,2.723548630309123,3.3160025355989236,1,0,0,0
0,3,2.2460417190248805,2.2027647577118348,0,0,0,0
0,3,2.484795174667002,3.4742929367327062,0,0,0,6
0,3,2.1706458909273687,2.180891922715322,1,0,0,0
1,2,2.685850716260367,2.833213344056216,1,0,0,0
0,3,2.0198542347323447,3.405355391810819,0,0,1,5
1,2,2.346569489821563,2.6390573296152584,0,0,0,0
0,3,2.3842674038703193,2.9444389791664403,1,0,0,1
1,3,2.346569489821563,2.1071782966514356,1,1,0,0
0,2,2.4345312892686604,3.295836866004329,0,0,0,0
1,2,2.421965317919075,2.6390573296152584,0,0,0,0
1,3,2.183211862276954,2.2004637699272855,1,0,1,0
1,1,2.346569489821563,3.597312260588446,0,0,0,0
0,3,2.095250062829857,3.0944457464900235,1,0,0,4
1,3,2.4722292033174162,3.4777725458882283,1,0,0,6
0,3,2.346569489821563,2.1071782966514356,0,1,0,0
0,1,2.2334757476752953,5.575949103146316,0,0,0,5
1,3,2.346569489821563,2.1837114628556327,1,0,1,0
0,3,2.346569489821563,2.1855792552411137,0,0,0,0
0,1,2.497361146016587,3.357621598945279,0,1,0,0
1,1,2.346569489821563,4.993969182787072,1,1,0,1
1,3,2.346569489821563,2.169053700369523,1,0,1,0
0,2,2.8240764011058053,2.4423470353692043,0,0,0,0
0,1,2.346569489821563,4.420896324687287,0,1,0,1
0,1,2.5224930887157577,3.970291913552122,0,0,0,1
1,3,2.346569489821563,2.1076888046179385,0,1,0,0
0,3,2.258607690374466,2.2027647577118348,0,0,0,0
0,3,2.22090977632571,2.9444389791664403,1,0,0,2
1,3,2.1706458909273687,2.5048481563289,1,1,0,1
0,3,2.497361146016587,2.348991465808201,1,0,0,1
0,2,2.334003518471978,3.091042453358316,1,0,0,1
0,3,2.346569489821563,2.1855792552411137,0,1,0,0
1,2,2.0324202060819303,3.7513658711253766,1,1,0,3
1,3,2.2334757476752953,2.1837114628556327,1,0,1,0
0,3,2.346569489821563,2.2027647577118348,0,0,0,0
0,3,2.346569489821563,2.803360380906535,0,0,1,1
1,3,2.346569489821563,2.169053700369523,1,0,1,0
0,3,2.346569489821563,3.1214482048688246,0,1,0,2
0,3,2.22090977632571,2.9338568698359038,1,0,0,1
0,3,2.0826840914802713,3.705920919968788,0,0,0,5
0,3,2.258607690374466,2.174751721484161,0,0,0,0
1,1,2.610454888162855,4.353230991152628,1,1,0,1
1,2,2.3591354611711486,3.295836866004329,1,0,0,1
0,1,2.81151042975622,4.142804513146981,0,1,0,1
1,1,2.346569489821563,3.597312260588446,0,0,0,0
1,2,2.258607690374466,2.4423470353692043,1,0,0,0
0,3,2.352852475496356,2.1076888046179385,0,1,0,0
1,2,2.0575521487811006,3.3586377672433594,1,0,0,3
0,3,2.132947976878613,3.8691155044168695,0,0,0,7
